Date,Hotel_Name,Location,Room_Type,Occupancy_Rate,Bookings,Cancellations,Average_Daily_Rate,Revenue_per_Room,Season,Day_of_Week,Customer_Segment,Booking_Channel,Promotion_Applied,Lead_Time_Days,No_Show,Food_And_Beverage_Revenue,Total_Revenue,Customer_Rating,Length_of_Stay,CheckIn_Rating,Room_Cleanliness_Rating,Spa_Used,Parking_Used,Loyalty_Member,Referral_Source,Complaints_Received,Early_CheckIn,Early_CheckIn,Late_CheckOut,Special_Requests,Customer_Tier,Event_Attendance,Room_Service_Orders,Avg_Response_Time_Min,MiniBar_Usage,InRoom_Dining,Total_Laundry_Cost,Hotel_Branch,Mobile_CheckIn_Used
1/1/2023,Ocean View,Chicago,Suite,94.18417387,135,10,171.13,161.18,Winter,Sunday,Business,Online,Yes,69,No,151.48,312.66,1.9,5,4.1,1.1,Yes,No,Yes,Google,0,No,No,No,0,Bronze,No,4,21.1,No,No,35.84,Downtown,No
1/2/2023,Mountain Stay,Chicago,Suite,89.7237168,163,6,183.63,164.76,Winter,Monday,Group,Online,Yes,16,No,71.39,236.15,4.6,1,2.8,1.7,No,No,No,Google,0,No,No,No,3,Platinum,No,1,24.3,No,Yes,35.42,Downtown,No
1/3/2023,City Lodge,Chicago,Deluxe,94.59946794,193,28,151.12,142.96,Winter,Tuesday,Business,Online,Yes,88,No,197.9,340.86,1.7,9,1.9,2.2,No,Yes,Yes,Email,0,Yes,Yes,No,3,Platinum,No,5,11.4,No,Yes,73.92,Beachside,Yes
1/4/2023,Mountain Stay,Chicago,Standard,81.13191237,81,3,135.01,109.54,Winter,Wednesday,Leisure,Walk-in,No,67,No,52.51,162.05,1.9,9,3.2,4.6,No,Yes,Yes,Social Media,2,No,No,No,2,Platinum,No,0,25.9,Yes,No,28.6,Suburban,No
1/5/2023,Mountain Stay,Seattle,Deluxe,71.13150458,26,24,169.42,120.51,Winter,Thursday,Group,Online,No,83,No,50.96,171.47,2.1,8,3.5,1.9,Yes,No,No,Email,0,No,No,No,4,Bronze,No,0,5.4,No,Yes,15.62,Suburban,No
1/6/2023,Sunset Resort,Seattle,Standard,45.97051282,64,11,94.24,43.32,Winter,Friday,Business,Walk-in,Yes,2,No,154.45,197.77,2.2,5,2.8,1.8,No,Yes,Yes,Friend,0,Yes,Yes,No,1,Bronze,Yes,2,30,No,Yes,32.36,Suburban,Yes
1/7/2023,City Lodge,Los Angeles,Standard,66.30906268,195,25,177.29,117.56,Winter,Saturday,Business,Phone,No,86,No,86.93,204.49,3.1,3,1.8,4.1,No,No,Yes,Social Media,1,Yes,Yes,No,3,Bronze,No,5,17,Yes,No,55.21,Suburban,No
1/8/2023,City Lodge,New York,Standard,57.35130107,174,5,128.69,73.81,Winter,Sunday,Business,Phone,Yes,50,No,66.16,139.97,3.9,8,4,2.8,No,Yes,No,OTA,1,No,No,No,0,Silver,Yes,1,6.5,No,Yes,17.59,Suburban,No
1/9/2023,City Lodge,Chicago,Deluxe,100,107,13,142.79,142.79,Winter,Monday,Business,Phone,Yes,81,Yes,35.73,178.52,4.7,1,2.5,4.4,Yes,Yes,Yes,OTA,1,No,No,Yes,2,Silver,No,1,11.7,No,Yes,89.69,Suburban,Yes
1/10/2023,Mountain Stay,Los Angeles,Standard,67.36171281,92,11,177.48,119.55,Winter,Tuesday,Business,Agent,Yes,25,No,153.07,272.62,1.4,3,2.8,1.2,No,Yes,Yes,OTA,0,No,No,No,1,Bronze,No,0,18.3,No,No,50.78,Downtown,Yes
